userId	geneSymbol	geneName	entrezgene	gLink
Tek	Tek	TEK receptor tyrosine kinase	21687	https://www.ncbi.nlm.nih.gov/gene/?term=21687
Plgrkt	Plgrkt	plasminogen receptor, C-terminal lysine transmembrane protein	67759	https://www.ncbi.nlm.nih.gov/gene/?term=67759
Itgb3	Itgb3	integrin beta 3	16416	https://www.ncbi.nlm.nih.gov/gene/?term=16416
Pld2	Pld2	phospholipase D2	18806	https://www.ncbi.nlm.nih.gov/gene/?term=18806
Prkch	Prkch	protein kinase C, eta	18755	https://www.ncbi.nlm.nih.gov/gene/?term=18755
Gtf2h2	Gtf2h2	general transcription factor II H, polypeptide 2	23894	https://www.ncbi.nlm.nih.gov/gene/?term=23894
Sqle	Sqle	squalene epoxidase	20775	https://www.ncbi.nlm.nih.gov/gene/?term=20775
Stard4	Stard4	StAR-related lipid transfer (START) domain containing 4	170459	https://www.ncbi.nlm.nih.gov/gene/?term=170459
Idh1	Idh1	isocitrate dehydrogenase 1 (NADP+), soluble	15926	https://www.ncbi.nlm.nih.gov/gene/?term=15926
Frmd4a	Frmd4a	FERM domain containing 4A	209630	https://www.ncbi.nlm.nih.gov/gene/?term=209630
Traf2	Traf2	TNF receptor-associated factor 2	22030	https://www.ncbi.nlm.nih.gov/gene/?term=22030
Sppl2a	Sppl2a	signal peptide peptidase like 2A	66552	https://www.ncbi.nlm.nih.gov/gene/?term=66552
Cdk5rap1	Cdk5rap1	CDK5 regulatory subunit associated protein 1	66971	https://www.ncbi.nlm.nih.gov/gene/?term=66971
Col9a3	Col9a3	collagen, type IX, alpha 3	12841	https://www.ncbi.nlm.nih.gov/gene/?term=12841
Mfsd1	Mfsd1	major facilitator superfamily domain containing 1	66868	https://www.ncbi.nlm.nih.gov/gene/?term=66868
Nsun7	Nsun7	NOL1/NOP2/Sun domain family, member 7	70918	https://www.ncbi.nlm.nih.gov/gene/?term=70918
Stx2	Stx2	syntaxin 2	13852	https://www.ncbi.nlm.nih.gov/gene/?term=13852
Tead2	Tead2	TEA domain family member 2	21677	https://www.ncbi.nlm.nih.gov/gene/?term=21677
Nsdhl	Nsdhl	NAD(P) dependent steroid dehydrogenase-like	18194	https://www.ncbi.nlm.nih.gov/gene/?term=18194
Msmo1	Msmo1	methylsterol monoxygenase 1	66234	https://www.ncbi.nlm.nih.gov/gene/?term=66234
Cbfb	Cbfb	core binding factor beta	12400	https://www.ncbi.nlm.nih.gov/gene/?term=12400
Thy1	Thy1	thymus cell antigen 1, theta	21838	https://www.ncbi.nlm.nih.gov/gene/?term=21838
Lca5	Lca5	Leber congenital amaurosis 5 (human)	75782	https://www.ncbi.nlm.nih.gov/gene/?term=75782
Abhd5	Abhd5	abhydrolase domain containing 5	67469	https://www.ncbi.nlm.nih.gov/gene/?term=67469
Lss	Lss	lanosterol synthase	16987	https://www.ncbi.nlm.nih.gov/gene/?term=16987
Slc2a12	Slc2a12	solute carrier family 2 (facilitated glucose transporter), member 12	353169	https://www.ncbi.nlm.nih.gov/gene/?term=353169
Gbp7	Gbp7	guanylate binding protein 7	229900	https://www.ncbi.nlm.nih.gov/gene/?term=229900
Cdk6	Cdk6	cyclin-dependent kinase 6	12571	https://www.ncbi.nlm.nih.gov/gene/?term=12571
Slc25a24	Slc25a24	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24	229731	https://www.ncbi.nlm.nih.gov/gene/?term=229731
Ggact	Ggact	gamma-glutamylamine cyclotransferase	223267	https://www.ncbi.nlm.nih.gov/gene/?term=223267
Rims1	Rims1	regulating synaptic membrane exocytosis 1	116837	https://www.ncbi.nlm.nih.gov/gene/?term=116837
Itga1	Itga1	integrin alpha 1	109700	https://www.ncbi.nlm.nih.gov/gene/?term=109700
Lxn	Lxn	latexin	17035	https://www.ncbi.nlm.nih.gov/gene/?term=17035
Samd9l	Samd9l	sterile alpha motif domain containing 9-like	209086	https://www.ncbi.nlm.nih.gov/gene/?term=209086
Rps23	Rps23	ribosomal protein S23	66475	https://www.ncbi.nlm.nih.gov/gene/?term=66475
Adamts16	Adamts16	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16	271127	https://www.ncbi.nlm.nih.gov/gene/?term=271127
Adam17	Adam17	a disintegrin and metallopeptidase domain 17	11491	https://www.ncbi.nlm.nih.gov/gene/?term=11491
Retsat	Retsat	retinol saturase (all trans retinol 13,14 reductase)	67442	https://www.ncbi.nlm.nih.gov/gene/?term=67442
Rp2	Rp2	retinitis pigmentosa 2 homolog	19889	https://www.ncbi.nlm.nih.gov/gene/?term=19889
Rpl35a	Rpl35a	ribosomal protein L35A	57808	https://www.ncbi.nlm.nih.gov/gene/?term=57808
Rnf213	Rnf213	ring finger protein 213	672511	https://www.ncbi.nlm.nih.gov/gene/?term=672511
Drc1	Drc1	dynein regulatory complex subunit 1	381738	https://www.ncbi.nlm.nih.gov/gene/?term=381738
Rpl36a	Rpl36a	ribosomal protein L36A	19982	https://www.ncbi.nlm.nih.gov/gene/?term=19982
Rpl39	Rpl39	ribosomal protein L39	67248	https://www.ncbi.nlm.nih.gov/gene/?term=67248
Hmgcs1	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	208715	https://www.ncbi.nlm.nih.gov/gene/?term=208715
A230057D06Rik	A230057D06Rik	RIKEN cDNA A230057D06 gene	319893	https://www.ncbi.nlm.nih.gov/gene/?term=319893
Lix1	Lix1	limb and CNS expressed 1	66643	https://www.ncbi.nlm.nih.gov/gene/?term=66643
