userId	geneSymbol	geneName	entrezgene	gLink
Nalcn	Nalcn	sodium leak channel, non-selective	338370	https://www.ncbi.nlm.nih.gov/gene/?term=338370
Dgke	Dgke	diacylglycerol kinase, epsilon	56077	https://www.ncbi.nlm.nih.gov/gene/?term=56077
Atp5f1	Atp5f1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1	11950	https://www.ncbi.nlm.nih.gov/gene/?term=11950
Bcl11a	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	14025	https://www.ncbi.nlm.nih.gov/gene/?term=14025
Dlg3	Dlg3	discs large MAGUK scaffold protein 3	53310	https://www.ncbi.nlm.nih.gov/gene/?term=53310
Grik3	Grik3	glutamate receptor, ionotropic, kainate 3	14807	https://www.ncbi.nlm.nih.gov/gene/?term=14807
Rmnd5a	Rmnd5a	required for meiotic nuclear division 5 homolog A	68477	https://www.ncbi.nlm.nih.gov/gene/?term=68477
Dlgap1	Dlgap1	DLG associated protein 1	224997	https://www.ncbi.nlm.nih.gov/gene/?term=224997
Snrnp200	Snrnp200	small nuclear ribonucleoprotein 200 (U5)	320632	https://www.ncbi.nlm.nih.gov/gene/?term=320632
Hlf	Hlf	hepatic leukemia factor	217082	https://www.ncbi.nlm.nih.gov/gene/?term=217082
Ssbp2	Ssbp2	single-stranded DNA binding protein 2	66970	https://www.ncbi.nlm.nih.gov/gene/?term=66970
Etv1	Etv1	ets variant 1	14009	https://www.ncbi.nlm.nih.gov/gene/?term=14009
Kit	Kit	KIT proto-oncogene receptor tyrosine kinase	16590	https://www.ncbi.nlm.nih.gov/gene/?term=16590
Ncoa2	Ncoa2	nuclear receptor coactivator 2	17978	https://www.ncbi.nlm.nih.gov/gene/?term=17978
Runx1t1	Runx1t1	RUNX1 translocation partner 1	12395	https://www.ncbi.nlm.nih.gov/gene/?term=12395
Arpp19	Arpp19	cAMP-regulated phosphoprotein 19	59046	https://www.ncbi.nlm.nih.gov/gene/?term=59046
Tcap	Tcap	titin-cap	21393	https://www.ncbi.nlm.nih.gov/gene/?term=21393
Elavl2	Elavl2	ELAV like RNA binding protein 1	15569	https://www.ncbi.nlm.nih.gov/gene/?term=15569
St3gal1	St3gal1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	20442	https://www.ncbi.nlm.nih.gov/gene/?term=20442
