userId	geneSymbol	geneName	entrezgene	gLink
Itgb2	Itgb2	integrin beta 2	16414	https://www.ncbi.nlm.nih.gov/gene/?term=16414
Gm2a	Gm2a	GM2 ganglioside activator protein	14667	https://www.ncbi.nlm.nih.gov/gene/?term=14667
Hk2	Hk2	hexokinase 2	15277	https://www.ncbi.nlm.nih.gov/gene/?term=15277
Loxl3	Loxl3	lysyl oxidase-like 3	16950	https://www.ncbi.nlm.nih.gov/gene/?term=16950
S100a6	S100a6	S100 calcium binding protein A6 (calcyclin)	20200	https://www.ncbi.nlm.nih.gov/gene/?term=20200
Lgals9	Lgals9	lectin, galactose binding, soluble 9	16859	https://www.ncbi.nlm.nih.gov/gene/?term=16859
Naglu	Naglu	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)	27419	https://www.ncbi.nlm.nih.gov/gene/?term=27419
Rin2	Rin2	Ras and Rab interactor 2	74030	https://www.ncbi.nlm.nih.gov/gene/?term=74030
Folh1	Folh1	folate hydrolase 1	53320	https://www.ncbi.nlm.nih.gov/gene/?term=53320
Spi1	Spi1	spleen focus forming virus (SFFV) proviral integration oncogene	20375	https://www.ncbi.nlm.nih.gov/gene/?term=20375
Irf9	Irf9	interferon regulatory factor 9	16391	https://www.ncbi.nlm.nih.gov/gene/?term=16391
Axl	Axl	AXL receptor tyrosine kinase	26362	https://www.ncbi.nlm.nih.gov/gene/?term=26362
Tgfb1	Tgfb1	transforming growth factor, beta 1	21803	https://www.ncbi.nlm.nih.gov/gene/?term=21803
Lcp2	Lcp2	lymphocyte cytosolic protein 2	16822	https://www.ncbi.nlm.nih.gov/gene/?term=16822
St8sia6	St8sia6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	241230	https://www.ncbi.nlm.nih.gov/gene/?term=241230
Rps11	Rps11	ribosomal protein S11	27207	https://www.ncbi.nlm.nih.gov/gene/?term=27207
As3mt	As3mt	arsenic (+3 oxidation state) methyltransferase	57344	https://www.ncbi.nlm.nih.gov/gene/?term=57344
Taf6l	Taf6l	TATA-box binding protein associated factor 6 like	225895	https://www.ncbi.nlm.nih.gov/gene/?term=225895
Dnase2a	Dnase2a	deoxyribonuclease II alpha	13423	https://www.ncbi.nlm.nih.gov/gene/?term=13423
Ptpn6	Ptpn6	protein tyrosine phosphatase, non-receptor type 6	15170	https://www.ncbi.nlm.nih.gov/gene/?term=15170
Lpcat3	Lpcat3	lysophosphatidylcholine acyltransferase 3	14792	https://www.ncbi.nlm.nih.gov/gene/?term=14792
Cd33	Cd33	CD33 antigen	12489	https://www.ncbi.nlm.nih.gov/gene/?term=12489
Adgre1	Adgre1	adhesion G protein-coupled receptor E1	13733	https://www.ncbi.nlm.nih.gov/gene/?term=13733
Plod3	Plod3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	26433	https://www.ncbi.nlm.nih.gov/gene/?term=26433
Man2b1	Man2b1	mannosidase 2, alpha B1	17159	https://www.ncbi.nlm.nih.gov/gene/?term=17159
Mlxipl	Mlxipl	MLX interacting protein-like	58805	https://www.ncbi.nlm.nih.gov/gene/?term=58805
Hmox1	Hmox1	heme oxygenase 1	15368	https://www.ncbi.nlm.nih.gov/gene/?term=15368
Ctns	Ctns	cystinosis, nephropathic	83429	https://www.ncbi.nlm.nih.gov/gene/?term=83429
Rps9	Rps9	ribosomal protein S9	76846	https://www.ncbi.nlm.nih.gov/gene/?term=76846
Tek	Tek	TEK receptor tyrosine kinase	21687	https://www.ncbi.nlm.nih.gov/gene/?term=21687
Elovl1	Elovl1	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1	54325	https://www.ncbi.nlm.nih.gov/gene/?term=54325
Cyba	Cyba	cytochrome b-245, alpha polypeptide	13057	https://www.ncbi.nlm.nih.gov/gene/?term=13057
Hfe	Hfe	hemochromatosis	15216	https://www.ncbi.nlm.nih.gov/gene/?term=15216
